3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
I see you're playing with your toys.,and then there's a big black cat.,kitty kitty.,and a baby.,you know.,I'm going to put your toys away.,you put the car away.,oh yeah.,the cars.,wow.,he goes there.,no.,what does your dog say.,what's in the toy box.,a hawk.,what's a bird?,there's a car.,and we're gonna go outside and we're gonna feed the kitty.,we're going to see the car now.,you're very sweet.,see it flies up in the air.,what's that.,what.,what's that.,the car can be on two wheels.,it was a duck.,that's a good idea.,oh look at this.
a blue ball.,oh the cat.,cat.,oh that's a pretty little girl.,yes.,I don't see any animals.,let's look at the cars.,what are you reading.,uh oh.,it's a car.,I'm gonna put your birdie on the table so he doesn't fly away.,wow.,come here.,can you open the box.,oh I see.,there's a bird.,the car can go fast.,and then he put the dishes back in the sink and he took the food out of the refrigerator.,a car is like a boat.,I guess you're right.,oh look at the little birdies in the tree.,what is that.,yeah.,no.,well you know where it comes from right.,look at the duck.,that's a car.,yeah.
ah.,cat.,right.,yeah.,what's that.,go get the truck.,and the car's got four wheels and they go round and round and go round and round.,where's the cow.,do you want to sit on a car.,what's that.,it's a sparrow.,wanna see a car.,hey.,okay we'll put them back on.,yeah.,oh there's a bird.,they were both going down the same road.,the cat is on the bed.,it's a car.,what's that you're doing.,oh we've got a bird.,you know you get in the car and you can ride your horse in the car.,oh yeah.,and what do you say to a duck.,you can drive it.,yeah.,oh you don't have a car.,we gotta get out of the house.
oh they're all here.,do you know what a cat is.,oh look.,yes.,I have a cat.,what is that.,they're the wheels that spin around.,we're gonna have a little party for the fishies.,and then I was able to get out of my seat and play.,you're going to go on the highway.,and he's sitting on a rock and he's looking at his feet.,okay.,oh okay.,yeah.,wow.,there's one little birdie in the nest.,this is the car.,see that cat.,what's that.,it's not.,do you think they're playing with him.,you're just like a big dog.,oh you need to go outside.,oh you're a horse.,oh.,the dog barked at a cat.,and then we'll go up to the garage and put the car away.,and that's where he lives.
look at this.,kitty cat.,no.,that's right.,oh yeah you can see them.,we're looking at the elephants.,come on.,there's a little tiger here.,car's wheels are on it.,see the cars.,and he's going to take a little nap.,you wanna put it on.,what's that one.,can you put that there.,that's a dove.,it's a bird.,and the car's got some wheels.,no.,no it's not a car.,okay.,he's a crow.,I'm glad you have some fun at the zoo.,and the turtle swims and the fish swims.,yeah.,oh.,oh you're talking about an animal that can fly.,the car.,it's a house.
look at that.,do you wanna see some cats.,the cat.,oh look at the baby.,that's right.,you wanna sit on the carpet.,it's going.,I bet you see a lot of animals out there.,wow.,uh-huh.,there's a bird in a nest on a tree.,okay.,well he just got out of the car.,what's that.,look at the birds.,it's a bird.,wow.,see that.,they're going to take you to the hospital.,they're gonna come visit us.,that's a penguin.,and a little puppy.,no.,oh he's got his eyes out.,what's that.,I see a bird.,look at that.,yeah that's right.
there's a car.,okay you can put the cat on the floor.,cats.,you need to wipe that.,look at the cats feet.,that's a bird.,look at the car.,you know what.,car.,look at the cars.,look at the little birdie.,we're gonna go in the car and we're gonna drive to the mall.,and the baby dogs are really cute and he's going to have a really nice puppy.,"oh, it's a little toy.",he's a dove.,what's that.,I guess I'll call the tow truck.,look at that cat.,I know where the car keys are.,oh you're just having a tea party with your friends.,they're called chickadees.,you have a cat.,and what's this.,you want a horse.,you gotta take it out of the car.,oh that's okay.,there's a car on the road.,I'm not going to the house.
okay.,what's this.,"yes, there's a cat.",you're so smart.,the cat's on the bed.,here's a baby animal.,he's driving.,do you think they're all cats.,and this is a car.,yeah.,there's a hawk in the tree.,look at that car.,the dog is in the yard.,oh.,hey what's this bird called.,there's a little birdie sitting on top of the fence.,car.,we'll see what happens.,there it goes.,no.,wanna see a bird.,it's just a little puppy.,do you know what a penguin is.,I'm glad you like them.,and there's the car.,you see a bird.,what are you gonna do today.,it's a beautiful house.
he's got all the balls.,what's a kitty cat.,little black kitty.,I'm so proud of you.,and see a cat.,that's right.,car.,"oh, oh.",oh yeah.,okay.,it's a little bird.,you're just driving.,it's called a mutt.,yes.,you see the birdie sitting on the branch of the tree.,bird.,oh the car.,you're not going to eat the cat.,and that's the car.,I can't find any more.,I think the bird will be here in a minute.,oh yeah.,and it's a penguin.,and then you have.,and what does he do.,you're not going to eat it.,wow.,the table's.
you wanna play with the cars.,here we go.,there's a cat there.,who's that.,what's that.,you got a puppy.,wow.,where's the bunny.,look at the car.,we're going to go to the car.,we're going to go outside and see if we can find a bird.,what is that.,come on.,look what we found.,what bird is that.,the bird is flying.,wow look at that.,I'm thinking about getting a cat.,they're cars.,that's right.,wow.,where are you going.,oh this one's a giraffe.,he had a pretty long nose.,and we put it on and you take off the strap and you can put it on and on and on.,what do you see.,this car is so pretty.,it's all gone now.
yes that's a big green truck.,that's a cat.,there's a cat.,who's that.,and a cat.,where's the panda.,yeah.,wow.,and then you're gonna drive the car.,and the gas goes into the car.,yeah he's right there.,what's that.,do you see a dog.,a ball.,that's right.,a bird.,and he's driving the car.,we can get another one.,we got to get out of here.,you know who else is in the house.,what kind of bird.,yeah.,do you remember this.,I love how you play with your dog.,it's a car.,a turtle and a rabbit.,I'm going to see the dentist.,you don't want to fall on the floor.
hey that's a ball.,there you go.,yeah it's a nice cat.,we're gonna go to the zoo.,huh.,good job.,see.,that's a dog.,that's what cars go.,it's a good car.,and a bird's in the sky.,and we can also go to the movies.,and then I'll just give her some water.,you're going to put them in there.,yeah.,do you see the bird in the tree.,oh yeah they're called a tractor.,that's a pretty kitty.,I'll take care of this one.,oh yeah.,oh look at that bird.,look at the dog.,they're in the forest.,here's some cheese for the cat.,the car is very loud.,can I get a ball.,and that's how you do it.,you want to look at the house.
you gotta put it on.,oh yeah you know you're gonna need a cat for this.,I know what a cat is.,I'll get them.,yeah that's a cat.,what do you see.,it's a car.,oh they're all lions.,a car.,yeah.,bird.,uh.,she's gonna bring the kitty back home.,what's this.,what kind of bird is that.,that's a parrot.,you're so good.,here's a cat.,yeah that's right.,and my mommy and my daddy and my sister and my brother.,a sparrow.,they're all animals.,okay.,he's a boy.,oh wow.,what are they.,and the car is on wheels.,the house is falling apart.
okay.,look at the cat.,look at the cat.,we'll go visit Grandma.,oh that's not the kitty that's the kitty that's the kitty.,oh I'm a little bit scared.,uhhuh.,okay.,oh what kind of car.,you don't like cars.,you wanna have a little birdie.,I'm trying to get the truck out of the way.,you're right.,that's not right.,you know what we're going to do.,do you like birds.,"oh, oh.",oh he doesn't have one.,that's your car.,you're not gonna eat that.,that's the owl.,he's a tiger.,what kind of animals.,okay.,uh you know what.,oh my god I see you're talking to the dogs.,where's the car?,let's go get you some lunch.
look at these.,cat.,you can't give it to her.,mommy is gonna take you to see grandma.,look at the cat.,the cat's name is cat.,that's a big car.,we have a rabbit and a bunny.,the car has four wheels.,can you see the car.,he's not flying.,oh what's that.,so he's not eating the food.,can you see the kitty.,what kind of birds.,oh look at that bird.,oh they're very pretty aren't they.,what's the cat doing.,okay okay.,yes.,there's a bird that's on the roof.,you like the zoo.,there's the lion and the tiger.,that's a chicken.,see the car.,they're going to feed you some peas.,and now we're gonna get to the car and put the car seat in the car.,we can put some stuffed animals on the bed and you can put them in the basket.
who's playing with the blocks.,a cat.,look at the cat.,okay.,you wanna put your hands on your nose.,whoa.,oh.,I don't see any.,oh there's a car there.,oh you can see the tire.,you don't see a bird.,and I think it's probably safe for you to get in.,I bet you're gonna get it stuck in there.,here's a truck.,it's a cardinal.,there are birds and they fly in the sky.,I'm gonna go buy a new car.,and he was scared and he was mad at you.,that's a truck.,we have a family.,we have two birds.,that's right.,oh he's really big.,oh there's a caterpillar there.,it's a car.,yeah.,they're red.,oh.
I see you have a toy car.,there's a cat.,see the cat.,you like family.,no baby.,you wanna go to the zoo.,we're going to get a new car.,yes.,come on.,oh what's this.,a parakeet.,oh.,he's a big dog.,we'll have to find something.,it's a parrot.,yeah there's a bird and it's flying over the tree.,okay.,that's the cat.,oh my gosh.,there's the girl.,that's a duck.,look.,wow.,oh.,I'm not going to the car.,he's a bird.,yeah.,what kind of house is that.
look at those balls.,cat.,this is a cat.,you get the book from me.,that's a kitty.,a pink caterpillar.,that's a car.,I see a deer.,it's not a car.,wanna see a car.,the bird has a red tail.,and it's a car.,it's a dog.,and we could go with the bunny and the baby bear.,there's a bird on a tree.,you're sitting on the couch watching birds.,yeah.,that's the cat.,you put it in.,oh I see.,the little bird was flying.,and then he's going to turn into a tiger.,that's a cat.,he's trying to get it.,yeah.,look at that.,well they're kind of big but we have one in our yard.,this is a house.
let's go get your cars.,and cat.,oh a cat.,you can play with it.,there's a cat.,what's that.,what's that.,that's right.,wanna see some cool cars.,"yeah, cars.",that's right.,you wanna go in the car.,come on over here.,let's put them back in their place.,oh the bird went down the hill.,this is a bird.,where's your mommy's car.,here's the kitty.,I'm gonna put a jacket on you.,oh.,you know what that is.,and he makes a little sound.,and you can get some animals to put in it.,that's a good idea.,I see. I see.,oh.,I think we're in a movie.,you're gonna have to make a hole.
bang.,we'll go see the cat.,the cat.,she's Mommy's best friend.,come and see the cat.,huh.,I see a car.,this is a cat.,oh the car's all right.,well you put the tire on.,it's the bird.,and we're going to drive it in the car.,what is that.,okay.,hey look at the bird.,what's that.,can you say car.,it's a cat.,you're gonna make a mistake.,oh okay.,you're a little birdie.,I think that's a baby elephant.,yeah.,you have a little rabbit.,uh huh.,did the kangaroo get hurt.,oh I know what it is.,the house is the building where we live.
what's that.,kitty.,that's right.,do you want the baby to cry.,oh my goodness.,and we'll go to the zoo.,and then we put it in the trunk.,yeah.,and a tire.,what does that one say?,there's a bird outside.,there's a car over there.,I think you're trying to say you're having a hard time with your toys.,and you're gonna make a tower with them.,the hawk.,and then you can go to the zoo and see the birds.,it's a car.,oh my god.,that's a car.,yeah that's right.,a robin.,so they're not actually dogs.,what's the name of the horse.,I've got the animal ones.,there's the gas.,we'll play with the elephant.,okay we'll put your car in the garage and park it.,oh.
yeah.,huh.,look at the kitty.,that's your dad.,oh we have a cat.,do you see the ducks on the water.,there's one car in the garage and one car in the driveway.,let's see.,yeah.,okay let's see what you have.,you see it's a big bird.,and there's a tree over there.,do you wanna have a big bone or a little bone.,do you wanna play with the trains.,a duck and a chicken.,a big bird.,uh huh.,do you remember what the cat does.,what's this.,the family.,there's a bird.,and the kittens love to be cuddled.,well here's a little one.,so we have a lot of animals.,okay.,oh you're right we can.,it's got a nice red truck.,it's going to rain.
let's make some music.,can you say cat.,and this is a cat.,Mommy and daddy are going to have a party.,you've got a cat.,what's this one.,yeah.,and then he goes.,that's a car.,uh oh.,look at the blue bird.,the car went over the bridge.,that's the bark of a dog.,you have a new doll.,yeah.,I see a hawk.,I don't know.,and he's not happy.,it's a very fast car.,I know.,can you say bird.,that's a good idea.,you're a rabbit.,I mean you could just go into the bathroom.,and then it's gonna go to the back seat of the car.,yes.,wow it's a pretty blue car.,okay.
do you want a ball.,a cat.,the cat.,let's go see daddy.,you can't play with him.,a big pink flamingo.,what's that.,a cow.,what's that.,that's a car.,little duck.,well he's not here.,I can't wait to see the dogs.,no.,it's a little bit like a frog.,yeah there's a bird.,okay we're going to go to the car.,do you remember where you put it.,oh.,and then she went and got a manicure.,you think that's a bird.,"yes, that's a dog.",okay.,oh you're right.,look at the cars.,right.,you wanna put it on the ground.,well then we'll go play in the house.
oh you want to play with the ball.,cat.,that's a cat.,what's your name.,and cats.,you're holding a toy giraffe.,no cars on the ground.,this is a duck.,that's a car.,what are we going to do with the car.,what bird do you see.,oh we'll go get a car.,oh that's a nice looking dog.,and then the next one.,that's right.,do you see the birdie in the sky.,that's not a car.,that's right.,it's kind of big.,and then there's a little man.,a little bluebird.,you mean this one.,that's a dog.,what's that.,oh.,is that a monkey.,he's driving down the street and he's driving the car.,there's a little boy.
the ball.,that's a cat.,yeah it's a kitty.,what is that.,that's a cat.,the elephant is big.,yes.,they eat a little bit.,okay.,yes.,bird.,you're gonna get a car.,it's a dog.,hey you wanna have the car.,oh it's a hawk.,I'm gonna take him to the vet.,and the car.,oh yeah.,this is the back of the car.,you and Daddy are having a great time.,there's a bird.,I'm going to the store.,you're right.,okay.,I see a car.,and we can't see the bottom.,yeah.,where's the bathroom.
yes.,cat.,oh.,it's a little guy and he's gonna sit on the stool.,oh that's a cat.,huh.,here's the car.,yeah.,we're going to get a car seat.,can you say car.,you can do it.,wanna go on the car.,they don't bark.,okay.,there's a bird flying around outside.,here.,I see you wanna see the car.,you can't tell them apart.,you know you're not supposed to.,you know how many people are in your family.,oh okay.,a lot of the animals.,do you have a dog.,you like piglet.,you can't sit in the car.,what do you think.,what's a car.,hey.
I'm going to put a little toy in your hand.,he's so soft.,where's the cat.,see the family.,the cat's in the tree.,they're in the zoo.,there's the car.,oh that's the cat.,they're just like a car.,there's a car.,what kind of bird is it.,you need your license.,there's a dog on the bed.,where's your toy.,where are you going.,bird.,yeah.,this is a cat.,you put the thing under the car.,okay.,oh what kind of bird are you going to name your bird.,that's a good point.,the lion.,do you see the birdie.,and they're not going to go.,okay so you've gotta draw the fish on the paper.,and then you drive it home.,you have to go get the vacuum cleaner.
a ball.,wanna go outside.,yeah I got a cat.,and what's that.,go get it.,oh my gosh that's really pretty.,where's the car.,a fish.,well I see the car.,you wanna try driving the car.,that's a woodpecker.,see the tires.,well that's right.,who's that.,yeah.,what bird do you see.,look at that.,oh.,you know what I think it's a bus.,what's her name.,oh look.,they're in a jungle.,they're not.,okay.,it's just a car.,I'm thinking about some animals.,yeah.,you can.
this is a ball.,can you say cat.,and the cat.,oh this is Grandma's.,oh.,oh what's that.,and then there's a car.,and a little bird.,that's a car.,come on let's go.,do you see the bird.,okay.,where did you put it.,oh yeah.,you see a bird.,what's that.,okay now the engine is on.,you wanna play with the cat.,uh-huh.,we're going to have a nice dinner.,what kind of bird is that.,do you know the difference between a lamb and a baby sheep.,do you have a puppy.,the lion is sleeping.,see this.,that's a chicken.,I'm gonna put on the gas.,I think they're in a house.
the train.,what's that.,it's a cute little kitty.,and grandma.,a cat.,"yes, that's a dog.",you know that thing that's on the top of the car.,here's the car.,hey.,can I put this in the car.,oh look at the birds.,you see this car too.,what does it say.,and a bear and a little girl and a little boy.,yeah.,there's a bird in the tree.,see that you can see all the seats and everything else.,there you go.,where's the car.,you're gonna grow up to be a big man.,what kind of bird is it.,no that's a camel.,he's got a little nose on his forehead.,I have to go to the bathroom.,you're in the car.,you're right.,I see.,it's so hot.
you gotta get those babies.,there you go.,look at the cute kitty.,no you didn't.,there's a cat.,see that's a big blue truck.,he's riding the car.,he said to the pig he said to the goat.,and then we go.,what is that.,and it's like a blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue,yeah it's yellow.,the dog is wagging his tail.,okay.,oh that's a robin.,oh yeah.,what's a car.,oh.,I wanna take a picture of you with the car.,he's not your grandfather's grandfather.,a bird.,yes.,what kind of animal is that.,and what's that.,I see a car and a car wash.,hey it's a goose.,it's a red car.,oh.
look at the ball.,this is the cat.,you know where the cat's cat is.,where's daddy.,oh there's the kitty.,hey.,there's a car in the back of the car.,and who's this little birdie.,oh I see.,okay.,this is a blackbird.,yeah that's a car.,okay.,and I put it in the box.,they're the babies of the birds.,that's a parakeet.,I think this is the same car we saw on the road.,she's got a little tail.,yeah that's a bus.,this is your mommy's birthday cake.,you like birds.,there's a lot of stuff in the kitchen.,they're.,a little girl with red hair.,and there's a lot of cars.,what about the goats.,I love my truck.,that's where she goes.
okay.,what's a cat.,there's a kitty and a big kitty and a little kitty.,it's my little sister.,and the cat's gotta have a bowl of milk and a bowl of cream.,oh my gosh.,we're going to be going on a ride.,who's this.,do you remember where we put that car.,look at that.,there's a little bird in the tree.,car is fun.,uhhuh.,yeah they're all mixed up.,well you can draw a picture.,bird.,it's your car.,here's a picture of a cat.,what's your favorite car.,who else do you have.,that's a duck.,and we can help them.,well this is a giraffe.,oh it's a good animal.,oh.,well I'm not sure about that.,and there's the car.,a house is something that people live in.
right here.,look at the kitty.,there's a cat.,we had a birthday party at the park.,a cat.,what's that.,the car is so loud.,okay.,you gotta be very careful when you're driving a car.,look at that.,wanna go out to the yard and find some birds.,uh oh.,he's just a very big dog.,you're going to play with your toys.,you're going to need some bird seed.,here's a little birdie.,is that a car.,this is a cat.,look at the car.,Mommy is going to put some clothes on.,I'm sorry.,you're right.,so you're not gonna eat it.,and you can eat that.,that's right.,there's a lion.,you like the car.,yeah I'll take your picture.
you're playing with a car.,see the cat.,and the cat is sleeping.,you're not a baby any more.,come here.,you see that animal.,what kind of car is this.,you know what this is.,we'll go to the car.,go to sleep car.,wanna put the bird back in the nest.,and he's riding in the car.,yeah.,we're going to get a toy for him.,they're gonna sing to you.,it's a bird.,right there.,they're not so cute.,is that right.,who is he.,yeah you can see it.,we'll go to the zoo tomorrow.,oh look at that little girl.,what's that.,yeah.,and he's a red ant.,and the car is a.,you're gonna have to go in the front door because the back door is closed.
oh look at those bunnies.,cats have fur.,what's that.,can I put it in the cupboard.,oh it's sleeping in the chair.,I guess she's gonna get a lot of people.,look at that car.,I'm sorry.,that car goes real fast.,you're driving the car.,what's that.,you wanna go.,yeah.,and what's in the box.,that's a bird.,and then they'll have their own nest and eggs.,oh I forgot about the little car.,oh I can't tell you what they're doing.,a car.,she and the boys are playing baseball.,oh it's a bird.,we're going to do a little story.,he's really big.,well the little ducklings are swimming in the water.,and there's a little car.,that's a pig.,you wanna go on a car ride.,well you could have it in the living room.
you got the green car.,cats.,hey look.,that's right.,oh.,and then we'll go downstairs and see what mommy's cooking.,a car.,you're going to do it.,yeah it's a car.,oh my goodness.,this is a bird.,yeah.,you see the dog is going to the store.,and the rest of the blocks.,no they're not they're a big bird.,yeah they're in the trees and they make these noises.,yeah it does.,nope.,you wanna take a trip in the car.,and he and he and he and he and he.,you see those birds.,oh we have a picture of the baby.,what's that.,so we're going to have a little race and we're going to see who's the fastest.,yeah.,wow.,see.,what's that.
see this caterpillar.,goo goo.,oh what a cat.,it's Daddy.,oh look at the cat.,here's the truck.,car.,what's that.,you have the little red wagon.,there's a truck there.,oh my gosh that's so big.,and what's that.,what's the name of the dog.,there.,what kind of bird is that.,wanna play with the bird.,and a car.,it's a kitty kitty kitty kitty kitty.,yeah.,they're sitting on the sofa together.,they're so cute.,"so if we're talking about a lion's tail, we'd call it a mane.",can you say duck.,that's right.,well we don't drive it.,what do they do.,and a car and a bike and a truck and a tricycle.,so you're going to take it to the housekeeper's.
