3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
here's some good food.,that's right.,that's right.,I see that your daddy is going to cut it.,the girl.,this one's a lamb.,and what's in the cake.,what's this.,I'm gonna give you a little bit of this.,did you take off the jacket.,oh you got a bird.,okay so we're gonna sing about the bird.,the butter.,and that's why they're called.,the turtle comes out of the water.,the cat is laying on the bed.,yes.,well I think she's had them already.,a hawk.,what's that called.,it's a dog.,I'm just gonna say it.,wow.,well it's okay.,do you wanna get into it.,they're in the garage.,can you show me.,and then she's going to come in the house and lay down and sleep.
yep.,you want some chocolate.,I see the apple is gone.,I have two.,do you see those people over there in the corner?,that's a baby hippo.,you're gonna need a bigger plate.,I'll give you the blue.,where are you going with that.,so we're going to go to the zoo.,that's a really big bird.,do you see the birdie.,I'm sorry.,hey.,okay.,he's a cat.,she likes to sit down.,a little bit of something.,oh there are so many birds.,it's yogurt and ice cream.,that's the cow and that's the horse.,you like cats.,oh there's a bird in there.,oh.,there's another picture of your house.,the little ones.,he's a very good kitty cat.,oh my gosh I saw something on the news today.
yes you're right.,peanut butter.,yum.,I'll make them a cake.,you wanna put them all in the basket.,hi.,what's in the bowl.,can we.,no.,no.,that's a pretty bird.,we're going to see the birds.,yes.,that's my car.,and then we'll play with those.,what's that.,I'm gonna take off your shirt.,it's a banana.,look at that.,and we can get some chocolate milk.,"okay, put it on the shelf.",okay.,there's a hawk.,that's a good idea.,well this is our house.,no.,okay.,there's a big cat.
it's time for lunch.,a pea.,it's a toy.,where's your mommy.,I'm gonna go get her.,yeah.,a little bit of milk.,the blocks are in the box.,uh oh.,I don't know what you're talking about.,oh hey.,bird.,the ketchup is green and yellow.,see that toy.,you're in your room with your toys.,oh what a cat.,and then I can take it to the sink and wash it out.,you gotta get them out of there.,that's a cardinal.,the cookies have chocolate chips.,look at the cars and trains.,you know what this is a duck.,you wanna look at the bird in the sky.,yeah that's a soccer ball.,it's a beautiful house.,they're on a swing.,oh the cats.,wanna play with that.
here's the peanut butter.,that's a tomato.,we're gonna eat.,yeah.,oh yes they're in the picture.,look at this one.,and this is an egg.,what's that.,I'll make you some.,who are the people in the house.,you know that bird.,what's that bird called.,what's in your hair.,wow.,oh yeah.,you know the thing that has the little arms.,and a house.,that's a little too much sugar.,what's that.,oh she's eating.,oh you put it on the table.,what's this one called.,a bird.,you can put them in the box.,oh they're so big.,and you can.,can you say cat.,you know.
oatmeal.,where's the cheese.,yep.,oh.,yes that's a picture of mommy.,what is that.,where's your banana.,what is that.,and you're going to eat your carrots.,it's okay.,what's the name of that.,he is in a tree.,how about that.,"oh, oh, oh.",yes.,she's a cute cat.,the house.,oh I'm not really hungry.,there's a bird outside.,you can't.,okay.,and if he gets in trouble it's not nice.,well we have a lot of different birds.,see that.,that's a nice house.,and you can put them in there.,no you didn't.,I mean you're gonna have a cat.
we're gonna go to the grocery store.,and she's gotta eat.,yeah.,right.,no one's gonna be upset.,where's the duck.,let's put them together.,what is this.,well this is your daddy's.,well.,it's a blue jay.,where's the birdie.,let's go get your snack and we'll go play.,you know what.,oh.,you can't get the cat to do it.,she's gonna fix the light fixture.,I'm gonna fix it.,it's a beautiful little bird.,and then we have a cookie.,and what's the other one called.,you're gonna need a bigger box.,okay.,look at the blue one.,oh yeah.,and then you put it in a toy box.,what's this.,hm.
yummy.,cheese and crackers.,I'm eating a banana.,do you see that.,no.,hey baby look at the goats.,that's a pizza slice.,what's that.,yes.,yeah they're great people.,yeah they're called baby birds.,wanna take the bird.,did you have some of it.,I'm sorry.,oh.,oh my goodness.,the house.,and that's the way it's done.,you're right you're right.,it's hot.,we could read one.,oh it's a good idea.,there's a little bird in the tree.,and we'll get out some of the other blocks.,well you have to go inside and close the door and put your coat on.,are you going to play with that.,that's a cat.,can you tell me about your cat.
we need to make some toast for the baby.,this is a cheese sandwich.,cheese.,you know where we are.,let's get her on the bed.,I'm gonna be a mama bear.,here you go.,and what else do you have there.,that's the apple.,Mommy has to go.,you can't put anything on the back.,there's a bird.,who's going to eat.,let me see.,okay.,we don't have any cat's.,it's not a house.,you're gonna get all messy.,you gotta go to the bathroom.,no.,that's a ball.,it's a pig.,he is a hawk.,and we'll play with that.,can you make a house for me.,they're not for you.,huh.,oh okay.
it's good to eat.,he's got a big belly.,okay.,yeah it's daddy.,and then we'll go to a restaurant and have some dinner.,where's the cat.,okay let's get out of here.,oh okay.,this is not food.,it's your mommy's birthday party.,we're going to go get some food and drinks.,they are eating.,you know.,and then.,okay.,this is a cat.,oh yeah it's not that big is it.,they're both spaghetti sauce.,it's a bird.,this is a bowl of fruit.,you can play with that.,he's a really big dog.,oh my goodness you have a little baby bird.,you can take a break.,he's a very good cook.,he's a baby.,the cat's on the roof.,oh he's so small.
and you like cats.,he's in the tree.,what's this.,the bunny and the ducky.,oh.,you're having a nice big dinner with your family.,oh.,okay.,that's right you're right.,oh a dog.,there's a car over there.,here.,yeah.,the baby got some food.,there's a rabbit in there.,yes.,see.,that's a pigeon.,okay.,oh you're gonna miss it.,what kind of birds.,you can have a turn.,what's this one.,it's going to be the same color as the kitchen.,and they gotta be careful.,you're not supposed to eat that.,can you see them.,he's a little barking dog.
there's a cat.,a little blue birdie.,that's a baby.,and the cat was a good girl.,he's a big dog.,let's eat it.,okay.,there.,no.,there's a dog.,and the car has four wheels.,what is that?,oh you're going to take it outside.,what.,here's another one.,you wanna go out with me.,oh no.,we're gonna look at a bird.,you know what.,that's a bird.,oh it's so cute.,and a toy car.,okay.,that's what the house is for.,it's okay.,yeah.,right.,oh that's right you see.
a cat.,he's gonna come right back here.,okay.,that's a horse.,he wants to play.,uh oh.,what's this.,you put it in the trunk.,uhhuh.,you're gonna get a doggie.,and when we're in the car and you wanna watch the birds.,there's a bird on the ground.,I'll get you the other one.,they're both pink and white.,wow that's a good picture.,it's a little bit.,you wanna play with this one.,what's that.,that's right.,that's a bird.,he's flying.,okay we'll just get a little bit of water out.,it's kinda a bit funny.,you can't get into the house because the door is closed.,no.,you're right.,I'm sorry.,yeah.
hey.,hey bird.,oh they are in the box.,and the chickens have red combs.,where's the dog.,yeah yeah.,it's a bedroom.,I think it's a bicycle.,that's right.,you need a dog.,oh he's not going to school today.,do you want to play with the bird.,you're gonna put them in the big box.,they're gonna make a delicious meal.,he can jump over the fence.,no that's a giraffe.,what's that.,here's a bird.,you're gonna eat it.,there's a bird.,okay.,the doll is in the box.,we'll take the big bunny away and the small bunny will come back.,we can paint it.,yes.,you know what we're gonna do.,and you go to church every Sunday.,so what's the difference between a puppy and a dog?
what's that.,bird.,I'm gonna go back to the kitchen.,do you see the rabbit.,dog.,yes that's a turkey.,what's that.,yeah.,there's a little bunny.,oh you're just a baby.,a car.,what's this.,what's that.,you can eat your peas.,oh.,what kind of animal is this.,you put that toy in the box.,that's a turkey.,he wants to give you something to eat.,oh my goodness.,there's a bluebird sitting on a branch.,yeah.,do you see that truck.,and we got this.,the truck was in the driveway.,oh yeah.,I'm gonna take a break.,a dog that's a good dog.
yeah.,yeah.,here's your little red car.,you're sitting on your dog's back.,okay.,there's a little cup of tea in there.,you go into the house and then we're in the house.,go ahead.,they're like your cuddly toy.,and they have fur.,see the red car.,a bird.,oh.,I see what you're doing.,you're not quite two years old yet.,it's a turtle.,right.,oh yeah.,it's yummy.,it's a red bird.,no.,what's that.,yeah it's a good idea.,that's your home.,oh.,and then I'll go and I'll get some more to eat.,oh we're all in one room.,well we're going to go.
yeah you're gonna play with the cat.,there's a bird.,can you see the cat.,can you say kitty kitty.,he's a baby.,you know what I'm gonna do.,look.,there's the car.,see how he's standing up.,there's a baby dog on the couch.,car car car.,he's flying around.,let's play with the toys.,I see what you're doing.,what do you think.,he's a big brown bear.,so you're going to have to go pick up your toys.,what do you mean.,it's a good thing.,hey.,the big bird is called a bald eagle.,okay.,they're not in there.,what's in the cupboard.,and it has these wheels.,that's a good cup.,it's in the trunk.,okay you put it in the oven and when you take it out and then you're gonna have cookies.
kitty.,oh you have a bird.,uh oh.,baby goat.,go for the big dog.,wow you made me some ice cream.,let's look at the houses.,and a car.,okay we can make a dog and we can make a cat and we can make a cow.,there's a dog.,and I'm going to have to drive up to get the car from the garage.,there's a bird.,what do you think it is.,you're gonna put some cheese on the tomatoes.,that's a horse.,you see a baby cow.,do you remember the game.,oh that's a little birdie.,what's that.,okay.,well what are you going to do with them.,that's a train.,yeah.,oh you're putting it on the table.,okay let's go outside.,it's a good one.,"and then he said to them, you know what I'm gonna do to your dad.",she's a nice girl.
there's a cat.,you like the bird.,oh look at that.,oh look at this.,come here.,wanna try it.,you know it's kind of like a big room.,you go in the car.,that's the dog.,come here.,and that's the car.,what's that?,there's a toy in the toilet.,and I wash them.,you're a great dog.,you've got to try a turkey.,that's right.,it's so cute.,oh that's so funny.,the bird is not flying.,and then what happened.,"oh, I'm gonna have to get them out of the way.",yes.,so let's go inside the house.,oh that's not a car.,he's got some toys.,you're going to be a doctor.,and he has these nice furry hairs that make him very warm and then he licks his furry hairs to clean himself off.
there's a little cat there.,you see a bird.,this is a ball.,here's another one.,you wanna see the picture book.,mmm mmm.,oh.,you don't know what this is.,and then there's a big dog.,a dog.,wanna go get the car.,there's a bird in the tree.,and you know the one that makes the bang noise.,uhhuh.,look at this cat.,okay.,this one is a soccer ball.,you're talking to the bird.,I'm going to get the juice.,it's a duck.,you wanna sit in the chair.,yeah that's a toy.,okay.,oh.,oh my gosh you look so cute.,where's the spoon.,"oh my gosh, my gosh.",they just go and they wag their tails.
oh.,there's a bird in the tree.,you know the toys that you've been playing with.,okay.,who's this.,what are you eating.,wanna make the room look nice.,what does that car look like.,yeah.,he's in the house.,okay.,bird.,you can't play with them today.,what's that.,that's right.,that's a squirrel.,you have a ball and you have a book.,bird.,I think you're hungry.,a little bit.,yeah.,he's got a green one and a blue one.,okay.,oh okay.,you have a car and a truck and a train and a boat and a plane.,that's your shirt.,I think they're from England.,see the dog.
cat cat cat.,here's a bird.,it's a bouncing ball.,who's this.,he's so funny.,yum.,we have a big house.,car.,no no no.,what's the name of your dog?,it's a toy car.,you want the bird to fly away.,no you don't want to put it back in there.,yeah.,there's a big elephant.,no.,that's a toy.,a bird.,what did you have for breakfast.,that's right.,the bird is in the tree.,the little guy is on the little guy.,okay.,what is that thing.,car's the one that takes us to the beach.,uh huh.,you have a lot of brothers and sisters.,okay.
yeah.,there's a bird.,you wanna play with them.,what's that.,that's a dog.,and the green beans.,and we need to get the trash bags.,that's a car.,right.,the dog barked at the squirrel.,where's your car.,you're a bird.,I mean that if you can't get it out of there then you can just leave it.,no he's not eating anymore.,you see that rabbit over there.,you're right.,here's the big blue one and then there's the small one.,and it's a beautiful bird.,okay.,a bird.,that's a bird.,they're going to have a picnic at the beach.,no.,okay.,do you want me to take the car back.,yeah that's right.,it's a new house.,wanna see a picture.
where's the cat.,that's a bird.,where is it.,can you see the rabbit.,and the dogs wanna have a party.,okay.,oh.,and it goes.,wanna sit on your chair.,they like it.,yes.,it's a little birdie.,the baby.,huh.,right.,oh.,no I'm sorry.,yeah there's a bird.,well I'll have to put it in the oven for a few minutes.,yeah.,we can see the birds on the pine tree.,and then they'll go off the bottom.,what does that say.,a little bit more.,car.,it's a vegetable.,I see the picture.,what is the dog doing.
and the cat had no nose.,there's a bird.,look at those little people.,yes.,okay.,can you put the food in.,yeah that's a door.,that's the car.,wanna play.,he was barking at the dog.,oh and there's another car.,there's one that's got a little umbrella thing on his head.,and there's a baby giraffe and the other one is a baby elephant.,this is the little piggy.,so the kids were so excited.,no no don't eat the banana.,what does that say.,we're gonna go to the zoo.,yeah.,you've got a little birdie on your head.,the eagle has a really big wingspan.,they're so soft and squishy.,oh look you put the dolls in there.,can you tell me what the house is.,right.,you need some more oats.,I mean they're the same.,yeah.
you know what this is.,that's a bird.,I think this one is called the yellow dinosaur.,oh the little guy is in a big box.,doggy.,they're like cookies.,no it's not.,look at that car.,no.,they're not even dogs they're cats.,oh there's a car there.,they're little birds.,what's that.,that's right.,oh no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no,that's right.,and she's going to put it in the box and she's gonna give it to Daddy.,that's a nice bird.,oh you're not going to eat it.,look.,the bird flew away.,oh that's the best thing to play with.,yes.,okay what's inside the house.,there's a red car.,yeah.,they're not in our house.,you got a dog.
cat.,hello.,the little red car.,bunny.,yeah.,I'm going to get you something to eat.,okay.,come on.,it's a dog.,no that's a dog.,I'll fix it.,what kind of bird is that.,we can do that.,well that's great you can't really eat that.,see this bird.,is it a duck.,you're gonna put that in the truck.,you wanna go get a bird.,okay.,hey.,it's a parrot.,yes.,oh you're so brave.,yeah.,yeah.,that's it.,and what's daddy's job.,oh no.
kitty cat.,oh a bird.,this is a toy.,look at the little rabbit.,no.,no.,where's the kitchen.,go drive the car.,wanna see the dog.,the dog has a tail.,uh huh.,oh a bird.,they're all the same.,yeah.,you like to play with your animal friends.,you wanna see a picture of the bear.,what's your favorite book.,do you think birds are funny.,you know what's a good thing to do with eggs.,oh.,oh yeah that's a bird.,we'll have to wait and see.,can you tell me how to fix this.,it's not okay.,and it's not a fire truck.,and then we eat it.,okay let's do the other side now.,they're not cute.
and a cat.,oh look at the birds.,it's just gonna go.,look at the birdie.,wanna put it on.,no.,you have a doll.,I'm sorry.,that's a poodle.,and that's a dog.,oh they are so big.,it's a little birdie.,wow.,no you have to put them on the top.,who's that.,you're looking for the dog.,this one is a ball.,hey we're gonna look at this.,right.,wanna go.,he's a bird.,a ball.,oh.,you know what we can do.,yeah I'm glad you're in there.,yeah.,and the mommy and daddy.,and a little dog.
oh cat.,there's a bird.,what do you have.,and the baby's going to get a baby giraffe.,the dog says.,I'm gonna feed them to you.,hey baby let's go out and play.,yeah yeah.,what's that.,I'll get the dog.,wanna go for a drive in the car.,where's the birdie.,we have a big box.,and there's the yogurt.,what is this.,I bet she loves it.,are you hungry.,and the birds are eating all the berries and making a big mess.,and then they all go on to the next page.,there's a sparrow sitting on the telephone pole.,you're gonna have to wait a little bit until you get to the right one.,yes.,okay.,and there's a birdhouse.,see the car.,okay.,that's not your daddy.,right.
we'll have some toys on the floor.,puppy.,what are these?,what's that.,uhhuh.,huh.,a cup.,uhoh.,where's your mommy's purse.,yes.,you can't go in there.,yes we do.,we're going to see you're grandma.,there's a bird in there.,uhhuh.,and what is it.,you know what we're gonna do with it.,what is it.,okay we're going to the car.,what kind of bird is that.,and what do you think you might do.,and there's a cat.,come here sweetie.,what's the name of this dog.,you can look for it.,and she's like what.,it's a dog.,oh yeah she's got two big feet.
yeah.,puppy dog.,yeah you like that.,well I think it's time for you to get ready for your bath.,what's that.,no.,you don't want the ice cream yet.,oh.,and mommy and daddy and all of the children.,there's a little girl.,it's a house.,you know what.,and that's your grandpa.,wanna go to the store and get a couple more.,you know what a chickadee is.,that's a bluebird.,who's that.,here's your toy car.,so.,that's a robin.,right.,that's a really nice house.,so they're like the cats.,so it's time to go.,oh look at that.,and the baby.,see the little dog.,and you're a really good dog.
and that's a duck.,the dog's ears are up.,good boy.,yes that's Mommy and that's Daddy.,the chicken.,look at the dog.,it's a grapfruit.,and then it went away.,you know what I love best about living in a city.,what's that.,that's right.,you can put your finger in that.,I'm sorry.,that's a good idea.,this one has a tail.,it's a bird.,okay okay.,okay.,okay.,that's a turkey.,that's a nice book.,she's having a bath.,"oh, that's not a good idea.",wow.,oh that's a bunny.,you're going to sit right here.,oh you're not a dog.,you can't do that.
there's a little teddy bear there.,see the doggie.,you're not gonna like that.,you're my baby.,it's peas.,a little dog.,okay.,what's this.,that's right.,what's that.,can you open the door.,where's the cat.,okay.,and we don't want the cows to be sick.,I think she's a crane.,it's a little birdie.,okay.,that's a purple one.,yeah the house is really big.,there's a bird on the tree.,we're all going to be at home.,where's the light switch.,it's a kitty.,you want a dog.,he's a monkey.,who is the mommy.,do you wanna see him.,where's the dog's ears.
okay.,you can't see it but it's here.,I got some bananas and apples.,and my grandma.,I'll put it on the plate.,what's that.,here's some cheese.,okay.,what's in that box.,you like the truck.,you can put it on the edge of the bed.,you know what they say.,I think he's just playing around.,we'll talk about dogs.,what a bird.,yeah he's the one who helps the other birds and that's what I'm going to try and get out of my book.,you want to play with the train.,well he's not gonna say no.,we're gonna go to the house.,that's a pretty bluebird.,I have to go.,"hey, it's a new house.",that's a kitty.,well we're going to go get a new one.,what's that.,how about this.,we're going to find a dog.,right.
that's it.,okay.,let's see.,Daddy's at the airport.,yeah it's good.,go over there and say hello to Max.,what's that.,that's the dog.,what's that one.,yeah.,where's the towel?,you want to see the birds.,hey.,you wanna get the worm out.,what's the bird doing.,it's called a bird.,oh.,yes.,a kitchen and a bedroom and a bathroom and a garage and a front room.,and here's a big one.,and then she had a boy.,oh.,you're right.,this is a dog.,look at the sheep.,what's that.,and the dog is going to be your friend.,I see you have a dog.
and now we're playing with the car.,and what's that.,you gotta eat your veggies.,you're getting to the right spot.,we're having a nice meal.,and they don't make noise.,can you open it.,you want a little ball.,and then he came back.,and then you push it.,look at that one.,that's a little duck.,no.,and what is this.,it's a parakeet.,and it's a bird.,there are lots of houses in the city.,that's right.,and a house and a car and a school and a bus and a boat and a train and a bicycle and a truck.,hey hey hey there little duckie.,right.,you're going to take your shoes off.,so what's this cat eating?,this one's a dog.,oh.,they're at the gym.,we'll go outside and we'll play with a ball.,oh my gosh that's just like a kitty.
whoops.,and there's a dog.,oh look.,Mommy and Daddy's baby.,and then they'll get their own bowl.,huh.,we're going to try to get the grapes.,that's a cat.,and the baby will have a big family.,see the cars.,you have to wash it.,what are these things.,oh it's too much.,there's a little bunny that has a little baby bunny.,you can't go in there.,yeah it's a penguin.,and then they were going to take the dog for a walk.,that's a car.,okay.,we'll go and find a bird.,it's the best time of the year.,it's the bedroom.,yeah.,well I'm sorry I don't know how to get it off.,they eat little penguins.,that's it.,right now we're going to get a dog.,you know a dog can wag its tail.
look at that.,dog.,what's that.,we're gonna have some cookies.,here.,wow.,that's the peas.,that's a panda bear.,okay.,oh you have a bunny and a bunny and a bunny.,you see those are the light switches.,they like to climb.,and your sister.,look at all these babies.,it has a long tail.,that's a crow.,here's where we eat.,okay.,I think that's the toilet.,we can't hear it.,no.,there.,oh yeah.,you know.,you know what that is.,they have a dog.,the dog is a poodle.,oh.
oh that's nice.,a dog.,where's the bread.,the grandparents.,what's this.,you can't sit on that.,you don't know what's in this.,and he's got a bunch of friends.,it's time for lunch.,what is this.,and I'm a cat.,that's a pig.,we're going to a party.,what's that.,they're birds.,the baby bird.,yeah.,okay you get a little toy animal.,let's see.,oh bird you're not sitting on the fence.,you know who's not at the party.,and it's a house.,wanna sit down and look at the pictures.,that's right.,that's a cat.,you know what you can do?,and then he'll wag his tail.,yeah it's a black and white dog.
I'm gonna put your toys away now.,we're gonna go and get a new dog.,uh oh.,no she's not going to get it back.,good.,oh.,wow.,hey you know this one.,oh you had your own baby.,okay.,oh no.,yeah.,no it's not.,you can't see the baby.,the bird.,you know what's funny about birds.,"okay, let's see what's up.",we can see them.,you gotta wash it off.,he's a pretty bird.,we're gonna go to grandma's house and we're gonna spend the night with her.,and we'll have a nice big breakfast.,a cat's tail.,let's see.,they're going to the bathroom.,yes.,yeah.,you're right.
and it's time to play with your toys.,there's a dog.,a little bit of butter.,they went to the store.,a chicken.,oh the doggie.,okay now.,right.,I'll tell you what. Let me see. Let me see. This is a little girl. That's right. That's right. What's her name? That's right. That's right. How old is she. Is she a year old. That's right. That,I'll put it back in the toy box.,I don't know.,oh you're going to have to go to the zoo.,okay.,okay.,a gull.,look at that bird.,okay.,what's in this box.,you can paint it a different color.,here's a little duck.,okay.,oh wow.,this is your cat.,yeah.,okay I'll tell you about it.,you can't go through the house.,a lot of dogs are going to be there.,oh my goodness.
that's the toy car.,you can put it on the floor.,we're going to the store.,look at the baby.,there's a chicken in the soup.,doggy.,and you know what you can't eat.,he's a lion.,they're not supposed to.,you can't play with it.,okay.,who's that.,they're your dad and mom.,you're right.,you wanna watch this one.,you have a bird.,oh I have a new book.,okay.,you're right.,what's that.,so.,oh it's all covered in dirt.,it's really cute.,oh.,you know what they do.,where's mommy.,and they're walking around.,he's gonna have a good day.
they're all different.,that's a dog.,we gotta go back and get it.,there's the baby.,good.,wanna play with that one.,oh.,goat.,oh.,you're going to have to pick up the blocks.,yeah.,and here's the snake.,okay.,oh oh.,yeah.,he's going to the cage.,I love your house.,yeah.,that's it.,they're flying up and down.,no you can't have it.,I think we need to put on the rain boots.,you're right.,look.,what's the name of that one.,did we ever have a family reunion at the beach.,you know.,the dog.
let's get the ball.,okay.,here's some yogurt.,she's a family.,okay.,he's a dog.,yeah.,and what's that.,did you see the movie.,they're.,you're right.,can you hold it.,"oh, what's that?",that's not a lion.,oh yeah.,you see that bird.,the windows open.,what's this.,who built it.,look at that bird.,I think you're going to go home and you're going to see daddy and then we're going to watch that movie together.,yeah.,you know what.,oh no.,what's that.,you know the person that is with them.,it's the dog's birthday.,what did you say.
oh hey let's go play.,there's a dog in the yard.,cheese.,and we get to see the whole family.,here you go.,that's a big dog.,okay we're gonna cook some things.,oh the baby giraffe.,did you know that in that room that we're in there is a big family.,right.,you can sit in your chair.,that's not a bunny it's a kangaroo.,they're playing with him.,they're in a cage.,you're like a birdie.,wanna see a little penguin.,what's your name.,I don't know.,they are big they're big.,you can put it in a bucket.,that's right.,how many people live in the house.,that's a kitty.,I think so.,okay.,so you're the grandkid.,oh yeah she's got a little dog.,hey.
yeah.,oh.,oooh.,the dog's name is Buddy.,can you take them out.,that's a dog.,peanut butter.,it's a puppy.,they have a brother.,okay you're holding it.,you'll want to put it in the cupboard when you're done.,I'll read you one.,he's my brother.,and you can watch the sunrise.,we're going to put your hands up like this and we're going to put our fingers together and you're going to make a bird.,what are you doing with your fingers.,who's that?,we don't have any other blocks for you.,so we need to go up.,oh you're right.,what are you doing with your hands.,well it's a good idea to keep the dog in the house.,they're called kittens.,there's a cute puppy.,the little bear goes to the little bear.,oh what's that.,wanna see.,oh so you see the dog.
uh.,see the dog.,no.,what's that.,that's yogurt.,he's a dog.,that's a peanut.,it's a puppy.,that's mommy.,this is the one.,this is the house of mr. and mrs. snooty.,no I'm not going to eat you.,you know what that is.,okay.,that's a bird.,see how it goes up and down.,I gotta go get a little more.,right.,and that's how you wash your hands.,I'm going to show you my bird.,that's what I said.,oh.,he's not sleeping on my bed.,and here's the dog.,that's right.,I thought you wanted a dog.,he's a good boy.,right.
