3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
a kangaroo.,yes.,oh look a bird.,that's a horse.,there's a cat.,yeah.,what's that bird.,who's going to clean the house.,oh yeah.,see that bird.,can you say dog.,let's see what we can get with them.,it's not going to be a cow.,you like to play with your blocks.,what's that.,right.,we're going to make a bird.,it's a Toyota.,yeah.,well he's not gonna get wet.,let's see what's in this box.,you don't eat cereal with a fork.,and they go on four wheels.,it's got a tail.,there's a truck in the sky.,yeah I'm gonna take care of her.,it's a cat.,that's a turkey.
you're doing great.,you like that.,little birdie.,the little kitty cat.,what's that.,this is a bird.,there's a little bird in the nest.,oh there's a door.,oh yeah.,no.,so.,that's right.,oh.,oh okay.,we'll make a doll house.,you'll have a race to see which one goes the fastest.,what's that bird.,okay you can't put the car on the table.,there's one car.,it's a big cat.,oh my goodness.,where did you get those eggs.,oh yeah.,here you go.,"this car has a nice, low rumble.",that's right.,that's not a horse.,yeah there's a big bird.
he's a baby cow.,pee.,bird.,you're like a pig.,do you wanna see a cat.,oh a bird.,oh the ducks.,yeah.,you're right.,he's a little baby bird.,and the dog is a dog.,here.,okay so we're going to write down the name of the animal.,there's a toy truck.,where's the dinosaur.,and I'll do it again.,you know it's a little birdie.,what's this?,he wants to see if the car is all right.,and then he went to bed.,it's a dog.,what's the name of that.,yeah.,he's not gonna play with you.,car.,my mommy and daddy.,you know what I mean.,it's like a bird.
a kitten.,huh.,bird.,do you like the giraffe.,okay.,that's a bird.,there's a bird outside.,and we're gonna take it to the house.,who's that.,a bird.,he doesn't wanna be picked up.,yes.,what are they.,okay okay.,what's that.,you're going to put that in the box.,the bird is singing.,let's turn the steering wheel to the left.,you're going to get a car.,oh you don't have a cat.,so then you get your ball and throw it.,do you want some grapes.,yeah.,yeah it's a cat.,the car is going to the gas station.,what's that.,that's a dog.,see this.
oh they're so cute.,yeah.,look at those birds.,you have a bear.,there's a cat.,birdie.,a robin.,you gotta keep your toys organized.,she has a brother.,there's a little bird.,okay so you can look at the pictures of the animals and think of a name for them and then you can write it down and we can put it up on the fridge.,what kind of toy is that.,we need to find a place for that.,and a ball.,what's that.,you're gonna play with these too.,you want me to take off.,yeah.,and a big car.,the cat's eyes were bright.,do you know what a dog is.,do you want the spoon.,yeah it's a nice car.,oh look at that cat.,oh okay.,they were having a party.,you know what you say to a cow.,he's a dove.
there's a bird.,what's that.,wanna have some bird.,can you find a cow.,see.,what's that.,see the bird.,that's a good one.,let's go back to the house and get the pizza for dinner.,little bird.,we can look for a dog in the park.,you're not gonna play with it.,no it's not.,and what's in the basket.,okay.,can you show me the blocks.,you know what? it's a bird.,and it's just the wind that's blowing it all over the car.,oh and the car's not that far from the carpenter shop.,oh I remember I think.,it's a bull.,you know it's very hard to make a sandwich without a knife.,he's gonna go and he's gonna drive and he's gonna go to work.,I guess you just want to see what you can do with it.,yeah.,it was all a very nice thing to do.,see a little pig.,hey bird.
look at the little bird.,oh no.,a bird.,bunny bunny bunny.,there's a cat.,you know what a pigeon is.,uhhuh.,you're gonna go out to play with your toys.,and then we'll go to the zoo and see the monkeys and the giraffes.,oh the bird's so tiny.,you like the dogs.,yeah.,what's that one called.,you got a toy.,okay.,oh that's right.,yeah we can.,no.,there's a car.,she was wearing a fur coat.,oh it's not a real dog.,okay.,where did you see it?,you're making a new cat.,what's your name baby.,oh that's right.,you like puppies.,oh.
he's a little duck.,no.,hey bird.,where's the duck.,we're going to put this cat on the bed.,no bird.,we'll have to wait until it's a little bit bigger.,okay.,we can.,and this is a duck.,what's that.,and then we can take it off.,he's a big dog.,oh you're making a mess.,hey.,and a toy.,what's a bird.,he's got a new car.,well I'll put it back in the trunk.,and he was just looking for a place to lay his head.,okay.,this one's for you.,and it makes cars.,you like cats too.,wanna drive that car.,and you have a sibling.,and the lion.,hey bird.
yeah.,oh that's a good idea.,and birds.,oh what a big one.,you know you can pet her.,see that little blue bird.,that's a bird.,a bed.,you like to have lunch with Daddy.,that's a robin.,you're not gonna play with that are you.,you don't like those.,it's a chimp.,you know what we're gonna do.,okay.,can you show me where the trucks are.,it's a red robin.,oh look at that car.,yeah you can make the car go faster by putting a different kind of gas in it.,oh.,he's a big dog.,well we'll see.,that's a great car.,can you see the kitty.,well the car's the one that moves.,okay.,okay.,no you're not a bird.
the lions.,you wanna eat.,we're going to have a little birdie.,see the ducks in the water.,cats.,what bird is that.,you want to go get a bird.,oh this is your kitchen.,right.,you can't touch the birds.,there's a dog in the back.,oh.,oh.,oh it's okay.,can you give them to him.,I think the kids are taking their toys to the store.,oh yeah that's a turkey.,you're gonna get a car.,and they go fast.,well we're going to see what's going on with the cat.,I'm gonna put him down and then we'll put the turtle back in the water.,this one.,I'm sorry.,you know what that means.,and a car.,and he got a good laugh.,okay.,there's a bird.
and the little duckie.,that's a little bit of peanut butter.,wow.,what's that.,kitty.,that's a bird.,a robin.,oh this is the sink.,what's this?,that's a great bird.,oh no.,the big one is.,and they're so good for the baby animals.,okay.,what is this.,I have a cute pink bear.,what's that one bird called.,car's all set.,oh yeah.,yeah.,that's a puppy.,you can do it.,you go see them.,what did she do.,that's a nice car.,that's right.,what animal.,oh I think it's a duck.
goat.,you know what's good for your tummy.,hey look at that bird.,there's a tiger.,what's that.,look at the bird.,there's a bird.,what's that.,what's that.,there is a bird in that nest.,see the dog.,well I'm going to go get her.,and the animals and they're just running around in the snow and they're having a lot of fun.,and then put them away.,yeah they do look like that.,wanna see.,there's a bird sitting on the fence.,see how she's got four wheels on her.,oh.,that's a kitty.,what's this one called?,that's okay.,what kind of car is this.,oh yes.,and you can put all the stuff in the car.,who are you talking about.,and the duck is also the duck.,what bird do you think it is.
