3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
okay.,oh they're not working.,there's a bird there.,you have some red blocks in there.,and the doorbell rings.,oh I'm sorry what did I do.,did you see the cows in the field.,yeah you did.,are there any more.,and then mommy and daddy were happy.,do you see that dog there.,they make tires.,we're going to have to put that in the recycling bin.,I like you.,she's playing with her toys.,you know what that's called.,"uh, you know what, um, I'm gonna go get it now.",it's a fish.,and you can just have the whole thing.,can you say the word dog.,I think she was playing with the toys.,that's right.,oh.,that's a puppy.,they're all right there.,what kind of crayons are these.,a big bowl.,so if you're at a pizza place.
and we're gonna go outside.,and they're a toy.,and the bird is flying.,oh that's right.,yeah.,that's what we're going to do.,yeah.,you wanna take it out.,here's some more cereal.,where does the mom go.,oh my goodness.,and there's the car.,you wanna say something.,how do you think it's gonna go.,that's right that's right.,and they go to work in the morning and they come home at night.,and it has a radio in it.,you know what I'm going to do.,okay.,what's the dog's name.,and he puts the ball in his mouth.,it's a turtle.,are those your toys.,wanna put them in a box.,yeah.,what's that.,you're eating.,right.
okay.,ball.,bird.,I'll show you.,what's that.,look at the toys.,and the little bunny.,here's a little bit more.,you put your fingers in your mouth.,you can put it on the chair.,what's that.,see the wheels.,well it was so nice that you came.,they're very good friends.,he was in a cat.,he's going to be all right.,okay.,I don't know.,oh that's a nice turtle.,oh no.,I think this one.,the goats are the cute ones.,yeah.,and he likes to lay down and sleep on your bed and you know like he's going to sleep in there.,that's a duck.,yeah.,there's a chicken and there's a chicken and there's a chicken and there's a chicken.,I don't know.
house.,yeah.,we're gonna go see a bird.,this is a red ball.,yeah.,this one has a red face.,wanna have some peanut butter and jelly.,oh let's eat.,no.,yeah.,I think it's the dog's.,and you can go fast.,yeah they're my grandmother and my grandpa.,oh.,there's a cat there.,he's in the house.,yeah.,so we can look at the photos.,oh.,it's a poodle.,they're gonna be together.,there was a big tiger.,okay what else do you want to do.,you can't put your feet in that.,I'll get him.,yeah.,she's sitting there.,and then you'll have the fish and the bird and the cow and the dog.
okay.,look at that little mouse.,what's that.,I'm gonna get the bird.,there's a toy truck.,and the pig.,that's a hawk.,I'm sorry I don't have any pictures of a cat.,they're like.,and now.,I'm going to make you a nice breakfast.,let's have lunch with them.,wow.,the kitty's on the bed.,well he's not a very good dog.,he's not going to sit on the floor.,the car and the train.,yeah we're in the car.,they're just like this.,where's your dog.,do you want me to take you somewhere with a car.,you're really gonna play with it.,it's a little car.,it's a little bit like a panda bear.,the cat is running.,they're gonna be there for the rest of their life.,go ahead and start it.,you can look at the dogs.
wow.,you wanna go see some monkeys.,mmm.,what's that.,what are they.,yeah.,no we don't put the bird on the chair.,and he's gonna eat it.,what's this.,yeah.,well we don't.,where's mommy's car.,oh yeah.,there's a door there.,oh that's a good boy.,there's a cat in the box.,no he didn't put it in there.,oh I see it's got a tire.,there's a bird.,and the dog's name is Duke.,see the car.,what's that.,it's a car.,and that's a giraffe.,you can get a cat.,what's that.,can you open it.,what's this.
yeah you're right you're right.,look at the little bunny.,oh.,you know what it says.,here's the truck.,okay.,bird.,oh the cat's a lion.,and the other one's a chicken.,yes.,Mommy's and Daddy's.,and that's my sister.,she doesn't like to clean.,oh.,do you see a dog in there.,that's a cat.,wanna play with.,there's a car on this side of the road.,that's a bird.,I mean he's a big boy.,and they can take you where you wanna go.,oh those are my little trucks.,you're right.,you want to see the sheep.,oh that's a nice big kitty.,I think he was a little bit scared of the dog.,I'll bring it back to the car.,oh he's so cute.
yeah.,goat.,you want to eat some.,oh yeah.,you don't want to throw the ball.,the ducks are swimming.,there's a big bird flying over there.,yeah they have cute ears.,you're doing great.,it's a big truck.,yeah we have a lot of kids.,okay.,you can't make any more.,there's the kitchen table.,and the dog.,you wanna see the cat.,okay.,he's a fire truck.,a gull.,we're going to go see the dog at the pet store.,do you wanna go to the car.,what's in the box.,yeah.,yeah.,oh that's good.,where is your dog.,yeah they're really fast.,they're dogs that are used for hunting and stuff.
and your mommy and your daddy.,that's a lion.,yeah you eat that.,look at this.,oh we have more.,yes.,look there's a bird.,do you know where your cat is.,the rabbit.,go there.,what did he say.,it's time for bed.,yeah.,you're going to paint the walls.,you're talking about the poodle.,wanna go get the cat and put it in the kitty box.,and then there was a little boy and a little girl and they were playing with their toys.,no.,there's a bird on the roof.,they're very good at it.,there's a car.,do you know what this is.,there's a car parked outside.,see this duck and this little duck.,I'm sorry.,where's your dog.,you're gonna take it in for a look at.,he wants you to feed him.
let's give them some kisses.,and they're like the bunnies.,yum yum.,there's a bird.,oh look at the blocks.,what's that.,we're gonna get a bird.,come on.,yeah that's a little chick.,where's the car.,no you're right.,he's a big man.,okay.,yeah.,and then we put a collar on the dog and we clip it to the leash and then we can walk around with the dog.,there's a kitty.,you're gonna have to put them back on the rack.,oh I have it.,oh.,oh you're a dog.,that's right.,yeah.,I have a car.,what about this one.,you see the cat is sitting right there.,this is a picture of a puppy.,oh I'll put it on the car.,you have a dog.
that's mommy.,wanna hear a story about a little pig.,you're a good eater.,the bird is coming down.,yeah that's a ball.,look at this bird.,wanna see a bird.,oh you gotta be careful with the cat.,okay.,there.,I'm a little tired.,I think it's a baby.,yes.,and we go on trips.,he's not a good dog.,what's that.,and a toy.,it's kind of a weird car.,that's a hawk.,you know what I'm saying.,okay.,I wanna take the block from the back.,you wanna go for a ride in a car?,oh it's a really beautiful horse.,what is that.,we're going to the zoo.,you see what I can't fix.,what's this.
there's Daddy and Mommy.,I love the animals.,yeah that's right.,look at the bird.,there's one toy on the floor.,and a donkey.,see those wings and the tail.,yeah that's a cat.,and the baby giraffe eats the leaves.,they're taking you home.,no.,oh that's your little baby.,no.,okay.,and they don't have to bite.,the cat.,oh.,there's a car.,and I'll see you later.,you're gonna need a little bit of dog food.,you have a seat.,I'm gonna go to the library and get more books.,wow.,yeah.,oh that's a nice cat.,can we take care of our dog.,no you're not.,it's a little too big for me.
it's a family.,here's a little dog.,I'm gonna go get you some peas.,here's a bird.,the dog.,we'll see a little animal.,it's a bird.,no.,see those are the animals.,I think it's called a truck.,you can't get a piece of paper without a pen.,right.,we're going to look in the living room.,okay.,that's a good one.,no he's a boy cat.,here's a little toy.,you put your hat on.,look at that bird.,and they were walking down the street.,you know.,I'm going to put that in your bag.,a car.,you wanna put that on your nose.,that's a cat.,and they're very smart dogs.,well you can't really see it but it's on the back of the car.,there's a dog.
Daddy and Mommy.,look at the chickens.,and.,there's a bird in the bush.,you can use it to.,a giraffe.,he's a bird.,let's look at these pictures.,where's your cow.,that's a good car.,and then she'll have to take her mommy out to eat.,he's just like his father.,you can put your stuffed animal in the bedroom.,you know what I'm gonna do.,okay.,yeah.,oh what's that.,well that's okay.,a bird.,and then the little dog came.,it's the one that the lady said she could take care of her car.,there's a dinosaur.,that's a car.,well what do they look like.,what's the name of this cat.,we'll have a dog when you're a little bit bigger.,the car starts up.,oh my.
you know.,do you know where the cat goes.,you want to eat it.,that's a big bird.,what's that.,can you say wolf.,bird.,cat.,look at that one.,oh.,okay.,that's what she was.,that's the bedroom.,you know what.,oh I like my dog.,there's a big cat in the yard.,where's the toy.,I don't see anything in the car.,you want a bird.,we need to let the dog out.,uh.,what is this.,go to the car.,you wanna get the cat out.,I'm gonna be a cat.,she's a good dog.,you're driving.,what kind of dog is that.
there's a dog in the picture.,little rabbit.,you're right.,go look at the bird.,you put the block on the top.,that's a horse.,yeah.,oh.,hey there.,what kind of car.,that's Daddy's car.,you can do that and then you can take a bath and then you can brush your teeth and you can go to bed and then you can sleep.,wanna go.,a chair.,oh the dogs are playing in the water.,and it's a very cute cat.,what's that.,we're gonna drive to see the ocean.,no birds fly high up.,do you wanna see the dogs.,can you see a car?,you're going to get that toy right now.,you want me to put your car in the washing machine.,I'll get him a treat for a treat.,can you say cat.,you mean the dogs.,you're a great driver.,and the dog says it.
okay now let's see how many cars we can fit in the truck.,right now.,what's that.,there's a bird.,that's it.,there's a caterpillar.,look at that little birdie.,where is the kitty.,I think that's a lamb.,okay.,that's not a family.,and you don't have a pet do you.,yeah we could just call it the garage.,oh look it's a house.,oh.,and the cat.,there's a little toy in there.,and here's a car.,we're gonna talk about bird.,what is that dog doing.,oh yeah.,this is a big teddy bear.,and it goes all the way down.,oh that's right.,so the cats are sleeping and then they go to play with the birds.,this is a puppy.,can you tell me what's in the car.,it's a dog.
good boy.,what a little baby dog.,a little bit.,yeah.,you have the ball.,what are those.,that's a bird.,that's a kitty.,he's gonna turn around.,I'm not sure.,you're really good at it.,what is that?,let's go outside.,do you see the carpet.,you wanna play with a ball.,yeah.,okay.,I'll go get the car.,that's a bird.,you're not going to get hurt by that dog.,what's in the car.,here you go.,oh this is a car.,that's right.,right.,she's a puppy.,I don't know what that's for.,yeah you can't tell me anything.
yes Mommy loves you.,hey.,cheese.,bird.,wanna play with that.,uh-huh.,what kind of bird is that.,can you hear the cat.,you got a snake.,and then we'll go up and we'll go to the roof.,oh well I guess.,that's not your mommy's hair.,you're welcome.,yeah they're really dark.,they're dog toys.,okay.,I love your.,look at the truck.,and they have a little bit of a funny nose.,no.,okay.,do you have a car.,there's a truck and a car on the road.,yeah that's a very good job.,oh my gosh.,the dog is in the house.,what is that.,doggy is walking down the street.
look at mommy and daddy's hands.,a little black cat.,look at all the little pieces.,a birdie.,here's a new one.,and the elephant.,it's a bird.,oh that's a cat.,we see two of those in this room.,oh I know.,hey.,she's a family member.,okay you can't paint it.,they're a little different but they're still good.,uh oh.,okay you can put them up here.,I don't have a big box.,oh look at this car.,yeah.,you're just gonna keep it on.,it's a car.,this is a ball.,can we go in the car.,I don't think we've ever had a bear on the farm.,I'm gonna go over to the side.,the dog's not here.,okay what's that.,I don't know.
okay.,where's the ball.,it's pork.,bird.,you got a toy car.,they're on this side.,what kind of bird is that.,oh my gosh.,that's a cow.,uhhuh.,you know what else.,there's a bunch of stuff to do around the house.,and then put it in the microwave.,you see the cat's paw.,I see a little dog.,see.,what's that.,let's go get the car and go home.,and then it can go up and up and up and up.,wanna look at this.,I'm going to get the car for you.,we're gonna make a car out of these.,car.,and then we went for a walk to the zoo.,and that's a cat.,and he's gonna go to the vet.,okay.,okay.
let's put it away.,wow.,uhhuh.,and then the bird.,it's a duck.,I think she likes the kitty.,it's a little bit like a bird.,what's this.,he's a tiger.,see the tires.,oh good.,Mommy has to get to work.,they're going to be building a house.,oh my gosh.,yeah.,a cat.,you can.,I can't really see it.,it's a duck.,what's your name.,car.,yeah you can have this.,and it's a car.,and then the duck.,they're like a cat.,oh that's a really big dog.,okay.,oh you're gonna wear a hat.
he's a very special baby.,and a giraffe and a panda.,here it is.,you see a bird.,oh my gosh.,wow.,oh they're not birds.,and then the cat goes to the tree.,a cow.,you want to go outside.,that's right.,I think you're right.,okay.,oh oh.,okay.,this is a cat.,oh.,let's go.,oh what a nice bird.,there's a puppy in the window.,that car is very big.,where are they.,and you're driving the car.,and the mammal and the reptile.,that's the cat.,he has a dog.,wow it's so hot.,so what's the name of the dog?
mommy.,he's like a bear.,yeah.,what kind of bird is that.,oh.,what's that.,you're a bird.,let's say it's a cat.,and the bears.,look at the car.,mommy's hair is brown.,let's see. oh my goodness.,okay.,and then we'll just sit there and take a nap.,I'll make you a dog.,you think about the cat.,no no no no.,he got a car.,he's flying up.,wanna come over here and we can read books.,oh.,he's a fire truck.,I'm not gonna let you have it.,is that a sheep.,hey cat.,I'll go and get my sunglasses.,we're gonna go to the car wash.,yeah.
oh the house.,that's a baby cow.,it's a baby elephant.,there's a bird in my dad's hat.,that's a car.,and then.,what's this.,oh it's just a little baby.,oh the other side.,a bird.,it was just a cat.,there's a cat on the roof.,you know that car.,yeah.,did they have a problem with him.,what's his name.,well he has no ears.,what's the name of the dog.,he's a kitty.,I gotta wash my car.,that's a cat.,it's so nice that you know your colors.,that's right.,you're driving the car.,yeah they're all here.,this is what a goose egg looks like.,here's a bird.,I see that you're looking at the car.
I'm going to put your clothes away.,where's the goat.,see that ball.,it's a bird.,you're going to go see a car.,you like this book.,oh.,we can build the house.,did you get to the store.,and they have wings.,well look at this one.,this is a cat.,you're going to the car.,can you put those in the box.,that's what they do.,who does that belong to.,it's a black and white kitten.,oh he was so confused.,come here.,that's a car.,okay.,oh I see.,oh.,oh yeah.,you're gonna put it in the bin.,you're going to the zoo with Daddy and Mommy.,the bird that's on the roof of the house.,he's gonna get into the car.
and then they're in the house.,the dog goes.,look.,what's that.,go ahead.,you know.,you're gonna be a good boy.,what's that.,it's mommy's turn to bathe the baby.,that's a dove.,okay.,this is a cat.,see the gas pump.,yeah.,yes.,oh so that's your father's wife.,oh wow that is a nice little duck.,he's not good at playing fetch.,you can look at it and maybe you can play with it.,oh.,she's going to sit on my lap.,okay.,okay.,okay.,oh.,what are they.,oh there's a bird in there.,and then it gets a gas tank and it has a steering wheel.
there's a little house.,yes.,let's make a tower.,hey bird.,car.,look at the birds.,he's gonna go get the dog.,there's a big thing in the middle.,okay.,he's a bird.,oh the cat's not gonna be here tomorrow.,hey look a cat.,go drive the car.,we have a very big family.,yes she did.,and we're all the family.,what's that.,no.,and she's gonna play with it.,okay so you want to sit in the car and you want to push the car.,and then you can come get them.,what animal did you say you saw at the zoo.,wanna go on a car ride.,right there.,what did you do with your toy.,a birdie.,that's a little blue bird.,it's a car.
okay.,look at the duck.,you got a car.,there's a bird.,a car.,there are two dogs and a cat.,what do you see there.,okay honey.,what's that.,look at that bird.,oh what a cute kitty.,what's that.,it goes on the road.,you're gonna eat that.,I'm gonna go find a little duckling.,where are you going?,that's right.,I don't think so.,where's the cat.,the car.,they're not.,okay.,oh yeah.,I'll go to the car and take you to the park.,okay.,is that a dog.,look at the bird.,there's a lot of cars in there.
there's a house.,it's a puppy.,here's a little guy.,bird.,car.,yes that's grandpa.,they were just playing.,they're a bunch of kittens.,who's mommy.,wow.,can you say kitty kitty.,oh a cat.,they have some very big wheels.,yeah that's right.,they're playing with their trucks.,let's go to grandma's house.,that's right. That's a baby hippo.,the other dog has a pretty big tail.,what is that?,that's a great car.,oh my goodness.,right.,he's not here.,wow.,and we can't play with them.,a little squirrel.,we'll see if he's around.,I don't know.
there's a house there.,we don't wanna hit the cow.,yeah.,wow look at that bird.,there's a car there.,and then we'll go to the zoo and then we'll go to the beach.,look at the dogs.,you go over here.,you need to get it off.,and a robin.,where's the cat.,there's a little cat.,oh that's a good car.,what are they doing.,where's the elephant.,no he's not.,so they eat.,come on baby.,and then you can get another one.,I love the car.,that's right.,that's a cat.,let's go find a car.,see the steering wheel.,you know what you should do.,we have a couple of birds and we have a little guinea pig.,can you say bob.,yeah.
that's the door.,see the bunny.,you can put it back on the chair.,bird.,see the car.,yeah you have some crayons.,we have a dog.,oh that's a nice house.,I don't know what that is.,that's a pigeon.,that's a cat.,what's this.,and the car goes in the garage.,you gotta take off your coat.,here's a clown.,oh there's your brother.,oh my gosh.,you know what's really funny.,this is a very nice cat.,I see.,so we're looking for a cat now.,that's what we do with animals when they're sick.,you're gonna have to get out of the car now.,you wanna go for a drive.,I'll go get the toy from the car.,you could go get a crab.,it's a cuckoo clock.,where's the car.
and houses.,little rabbit.,there's a bear.,that's a little birdie.,we're going to take your car out of the garage.,you have to turn off the lights.,a dog.,put it on the couch.,oh that's the mommy.,yeah we have a bird.,come here.,I'm gonna show you how to draw a cat.,yes.,oh yeah.,yeah.,you know we got this big house right here and we got all these trees and we got a big yard.,I'm sorry I couldn't make it out.,you know what I mean.,that's a cat.,that's a car.,oh my.,yes you can do that.,there's a lot of people in a car.,and it's going to go fast.,the truck is really big.,and what's that called?,what bird is this.,no.
the house.,caterpillar.,this is a ball.,you got a bird.,where's the car.,okay.,doggie doggie.,hey.,wow it's getting a little cold.,can you tell me.,this is a cat.,oh where's your cat.,they're not moving.,you can put some things in the kitchen.,"oh, what kind of dog is that.",and grandpa.,you wanna go and play with the animals.,right.,what's that.,you gotta park the car.,oh the cat is in the box.,do you see the bear.,oh look at the car.,that's a car.,I'll tell you about what we'll do with the toys.,well that's a funny little bird.,that's a bird.,no.
hey baby.,that's a big dog.,good boy.,bird.,can you see the car.,and Mommy's baby sister.,no.,look at that.,you have to go to the bathroom now.,there's a bird outside.,oh yeah.,and he's sleeping and sleeping and sleeping and sleeping and sleeping and sleeping and sleeping and sleeping.,what's this.,and then they come back to the couch and the rest of the family goes back to watching the game.,that's right.,did she say anything else?,you're going to get some pudding.,you're not a baby anymore.,oh what a cat.,I'm going to drive the car.,here's a little girl.,look at that big fish.,I don't know.,okay.,okay I'm gonna have you play with this.,you can't do that.,a bird.,car.
it's a beautiful house.,hi.,yeah.,we're gonna watch a bird.,look at the car.,where is mama.,that's a dog.,here.,yeah.,the bird is sleeping.,she's a cat.,she's a cat.,uhhuh.,and that's my brother.,right.,and I'm going to get the car keys.,we're gonna go and do some pumpkin carving and we're gonna make a pumpkin pumpkin pumpkin pumpkin.,you can't say you're a dog.,a. That's not a cat. That's a tiger.,okay we're gonna go to the car.,you know it's like a big cat.,they're just tiny little things.,okay.,wow.,what's this.,you wanna have a bite.,it's a bird that says quack.,you can't have that car.
house.,that's a frog.,that's a great toy.,that's a bird.,where's the car.,yeah.,there's a little dog right there.,okay you wanna put the bowl down.,that's right.,you're going to have a little birdie for a friend.,that's a cat.,oh.,yes it's a car.,yeah.,oh you're talking about bees.,you know what mommy did.,what's this.,you like dogs.,do you remember the cat.,you wanna sit in the back seat of the car.,and then it eats and sleeps.,oh what.,what are those.,oh.,oh look.,what is a donkey.,you know that little yellow bird that sings.,yeah.
go get your shirt.,it's a bunny rabbit.,that's a car.,birdie.,that's a big car.,Daddy's name is Robert.,the dog has a really big nose.,oh yeah we have a fireman.,yeah.,a pigeon.,you know that cat.,oh there's a cat.,okay.,and daddy and mommy.,a turtle.,yeah it's right there.,do you remember the bear.,there's a dog.,she's sitting there.,it's a truck.,it's a cat.,so that's a giraffe.,where's the car.,yeah.,oh there's a little train.,there.,a birdie.,oh wow.
here's the door.,a cat.,I gotta go play.,baby bird.,wow that's a big car.,you're gonna put your shoes on in the morning.,good boy.,I'm gonna put it on your lap.,she is a mother and a father.,that's a bird.,that's a caterpillar.,oh.,no.,oh good.,yeah.,who's that.,where's the elephant.,oh yeah.,there's a cat.,oh.,you're gonna have a kitty party with a kitty cake.,what's that.,wanna go for a ride.,you want me to drive the car.,and maybe some of the kids.,and I got a big truck.,that's a hawk.,you want to get into the car.
we're in a house.,it's a sheep.,you don't have one.,bird.,let's go on a car ride.,do you see the baby.,look at the puppy.,it's a little one.,and the baby ducks.,that's a bird.,a big fluffy white dog.,that's a kitty.,oh that's so cool.,can I come.,there's a baby elephant.,I'm glad.,can you find the bear.,the dog was barking.,what's that one called.,let's go.,that's right. that's a big cat.,what are those things called.,see what's on the car.,what's this.,you wanna play with the cars.,it's like a baby kangaroo.,well what did you get there.,and you put it on the back seat.
it's a house.,it's a cat.,here's a ball.,bird.,oh my goodness.,she's a great friend.,where's the dog.,you're gonna put it in there.,and what's Daddy's name.,bird.,and it's a kitten.,this is a cat.,it's the car's window.,so I'm like in the store.,well that's a great idea.,Mommy's in the kitchen.,he was a shepherd.,and a little dog.,yeah that's right.,and a car.,the cats are just sitting there.,it's a bird.,"yeah, you're a race car.",oh.,and then we could try again.,they're so pretty.,that's a hummingbird.,that's a nice car.
there's the house.,wiggle wiggle wiggle.,let's put the blocks in the box.,bird.,here's your car.,well that's not a lot.,good boy.,let's find a place to sit.,what kind of thing is that.,oh look a bird.,this is a cat.,oh there's a cat.,where's the car going.,it's a cereal bar.,and they're all different colors.,and then he goes.,we're gonna get the elephant and then the monkey.,wow.,oh what's this.,they drive.,what's that.,and it makes a lot of noise.,it's the car's seat.,well they are nice.,and a turtle.,and there's one that we call a snake.,and then it's called a turkey.,oh wow.
